T,swD,swB,Rd,Nd,pd_over_eq,pb_over_eq,burnup,swD1600,swB1600
900.0,0.202333567721984,0.2390130183253383,33.531020461544784,1.2812651632966398e+19,21.86102715982192,1.202686824587779,0.2,0.5644155725497453,0.0005400503454013
950.0,0.2153221269354533,0.2492195274210679,34.29195924249295,1.2747445244167365e+19,13.926281583869638,1.0882724009168765,0.5,1.340437179899446,0.0179435944946945
1000.0,0.2338757150786837,0.2562523370393872,35.335667975598504,1.2654838367145271e+19,9.658293716397296,1.0408463511176247,0.8,1.859322272946937,0.0772546063297869
1050.0,0.2581793126913226,0.261479293207989,36.63606229917619,1.2534484119153711e+19,7.183375215722404,1.0204385935442903,1.1,2.2101288448537884,0.1642440379632943
1100.0,0.2881267031542351,0.2658270564063229,38.15064830857794,1.2387655899442209e+19,5.654030856217252,1.0110717437187668,1.3,2.388065516862128,0.2278816439031372
1150.0,0.3233997731872821,0.2697805040175705,39.8319348005594,1.2216783976330646e+19,4.656707689647382,1.0064515875805589,1.6,2.602787507411765,0.325391000897393
1200.0,0.3635776794720515,0.2735837653118002,41.63670837458291,1.2024843645356431e+19,3.9755283529480354,1.0040086880211867,2.0,2.8265866028698827,0.4548900220175298
1250.0,0.4083900067889027,0.277356661325122,43.53734681612808,1.1814099354430556e+19,3.4895868234890743,1.0026281675969415,2.5,3.0449424292830463,0.6134904683832956
1300.0,0.4586229681820941,0.2811252319662853,45.55416847194858,1.1581980265835133e+19,3.1222958458536425,1.0017865443192504,3.2,3.282528211975124,0.8290332787166782
1350.0,0.519455144231624,0.2847459286580084,47.86768072610933,1.130660669278574e+19,2.8090611212753256,1.0012071995359266,4.0,3.495746985909029,1.067442194474676
1400.0,0.6097766190822543,0.2876234308765534,51.10129126972898,1.0909040034618204e+19,2.479299600645919,1.0007357865969122,5.0,3.709348205505339,1.3560133925975075
1450.0,0.7738567251579169,0.2881454772871464,56.542095153400886,1.0220126244582443e+19,2.1031093901931817,1.0003603446021654,6.0,3.885363794954115,1.6362848467155795
1500.0,1.07297932632946,0.2825525971983193,65.61413942039826,9.067977495956498e+18,1.767609351267902,1.0001498980013317,,,
1550.0,1.5779265162204927,0.2635321513949728,79.86467687811411,7.39492797318215e+18,1.56992488655848,1.0000681890598804,,,
1600.0,2.388065516862128,0.2278816439031372,102.44817316037135,5.302064084655461e+18,1.5264653622514328,1.0000424024695065,,,
1650.0,3.5954932631302365,0.183354477030597,139.12092777576248,3.1878103351238446e+18,1.628042813413783,1.0000376108924136,,,
1700.0,5.1924538604655694,0.1336465919347876,198.42725142205023,1.5866461668729157e+18,1.8793166591392896,1.0000439569141844,,,
1750.0,7.060126399249807,0.0843361360163947,292.21614848032016,6.754780333038301e+17,2.292459902917256,1.0000585398516444,,,
1800.0,9.069276633908338,0.0464121418270679,438.54473204633655,2.5670973852337843e+17,2.898648318339896,1.0000756341440402,,,
1850.0,11.122321826586733,0.0234855261741452,664.9509736861326,9.03104422749078e+16,3.771254577545115,1.000089266671322,,,
1900.0,13.141896170622887,0.0115340881256766,1009.9234893932248,3.045818373563843e+16,5.02433402659354,1.0000980613548702,,,
1950.0,15.072462258030448,0.0056902483613841,1523.9691778690933,1.016639653585899e+16,6.803504187947407,1.000103472416028,,,
2000.0,16.885102703960662,0.0028683394853972,2271.708571695571,3438406721279151.5,9.287637098287265,1.0001070268199774,,,
