block,component,n,min,p10,median,p90,max
C4_microstructure_escape,score_total,200,2.053247982386326,2.0913353862042925,2.3751603931169836,3.9183465290795594,7.2589509361849185
C4_microstructure_escape,score_swd,200,0.7385938304680268,0.906329515891303,1.0368263659060486,1.8075686162299145,3.090279259169249
C4_microstructure_escape,score_Rd,200,0.02336675657525255,0.0834711238661097,0.17676863363533912,0.30316717460182546,0.8473122982346778
C4_microstructure_escape,score_Nd,200,0.35072657590442324,0.5992664250225032,0.6534431170948969,0.8059160864268641,1.1097771269028744
C4_microstructure_escape,score_Nd_drop,200,0.0,0.4238362589224342,0.48784521116456836,0.525503944319631,0.5477791542368129
C4_microstructure_escape,score_pressure,200,0.0,0.0,0.0,0.06131424362503451,0.6195687499464542
C4_microstructure_escape,score_partition,200,0.029867755847977916,0.044164025773568295,0.10499149001574828,0.35136646398936483,0.506867168961062
C4_microstructure_escape,score_qgb,200,0.0015640447814964402,0.015342601274164609,0.07620632074301355,0.5337210287529173,1.006196909149755
C4_microstructure_escape,score_radius_guard,200,0.0,0.0,0.0,0.0,2.4810217567485044
C4_microstructure_escape,score_radius_saturation,200,0.0,0.0,0.01993933764611996,0.19454338266369683,4.65222026392424
C4_microstructure_escape,score_rizk_prior,200,0.07024198063460602,0.09893092545328122,0.1523670403114247,0.17387837509818052,0.18960792839599108
