block,n_trials,best_score_total,best_label,n_physical_top50,n_radius_ok_top50,n_partition_ok_top50,n_pressure_ok_top50
A_nominal_near,300,2.0494649000773193,capture_only_v5_codex_trial_00264,50,50,50,50
B_standard_wide,700,1.990001368772348,capture_only_v5_codex_trial_00629,50,50,50,50
C1_diffusion_escape,200,2.0861690825621326,capture_only_v5_codex_trial_00185,31,50,50,50
C2_resolution_escape,200,2.0623853655491264,capture_only_v5_codex_trial_00047,50,50,50,50
C3_trapping_escape,200,2.1628338209815303,capture_only_v5_codex_trial_00192,46,50,50,50
C4_microstructure_escape,200,2.053247982386326,capture_only_v5_codex_trial_00196,38,50,50,50
C5_coalescence_capture_escape,200,2.0841084578127123,capture_only_v5_codex_trial_00172,50,50,50,50
D1_b_gd_escape,250,2.0910616603066297,capture_only_v5_codex_trial_00022,46,50,50,50
D2_Dv_coalescence_escape,250,2.066599783378614,capture_only_v5_codex_trial_00235,21,50,50,50
D3_Kd_rhod_coalescence_escape,250,2.1439773987644344,capture_only_v5_codex_trial_00206,44,50,50,50
D4_capture_gd_escape,250,2.0970945761478705,capture_only_v5_codex_trial_00228,33,50,50,50
E_all_wide_exploratory,500,2.0018329693234573,capture_only_v5_codex_trial_00496,50,50,50,50
